Filename,Log_Level,Tools_Senti_Emo
AMQ-3176,"INFO
INFO","Anger, Fear, Surprise"
AMQ-3567,DEBUG,"Anger,"
AMQ-5384,INFO,"Anger, Surprise"
AMQ-5851,/,"Anger,"
AMQ-6152,"DEBUG
TRACE
TRACE
TRACE
TRACE
TRACE
TRACE
DEBUG
INFO","Anger, Fear,"
AMQ-6343,"INFO
INFO
INFO
INFO
INFO
INFO","Fear, Surprise"
HADOOP-12602,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Fear,"
HADOOP-12622,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Fear, Joy, Sadness,"
HADOOP-12655,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Fear,"
HADOOP-1717,INFO,"Anger, Fear,"
HADOOP-2486,"INFO
INFO
INFO
INFO
INFO","Anger, Fear, Love, Surprise"
HADOOP-3108,INFO,"Fear,"
HADOOP-5539,"INFO
INFO","Anger, Fear, Surprise"
HADOOP-8721,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Surprise"
HDFS-11377,/,Surprise
HDFS-13164,DEBUG,"Anger,"
HDFS-3326,"INFO
INFO",Surprise
HDFS-3828,"INFO
INFO
INFO","Fear,"
HDFS-4426,"INFO
INFO
INFO","Sadness, Surprise"
HDFS-6178,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Fear, Love, Surprise"
HDFS-6348,"/
/
INFO
INFO
INFO","Anger, Fear,"
HDFS-6797,"INFO
INFO
INFO
INFO
INFO","Anger, Surprise"
HDFS-9624,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger,"
HIVE-13002,/,Surprise
HIVE-15282,"/
INFO
INFO
INFO
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG","Anger, Fear, Surprise"
HIVE-15309,"/
INFO","Anger, Surprise"
HIVE-18413,"/
DEBUG","Fear, Surprise"
MAPREDUCE-3532,"INFO
INFO
INFO
INFO
INFO","Anger, Love, Surprise"
MAPREDUCE-6554,"INFO
INFO","Fear,"
MAPREDUCE-6649,"INFO
INFO","Anger,"
MAPREDUCE-7059,INFO,"Anger, Surprise"
STORM-1941,"/
/
DEBUG
INFO","Fear, Surprise"
STORM-2568,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Fear, Love, Surprise"
YARN-1274,"INFO
INFO
INFO","Anger,"
YARN-1661,"INFO
INFO
INFO","Anger,"
YARN-1675,"DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG","Fear,"
YARN-1839,INFO,"Anger, Fear,"
YARN-241,INFO,"Fear,"
YARN-2649,"INFO
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
DEBUG
INFO","Anger, Fear, Surprise"
YARN-2816,INFO,"Anger, Surprise"
YARN-2931,"INFO
INFO","Anger,"
YARN-3641,"/
INFO","Anger,"
YARN-4321,"DEBUG
DEBUG
INFO","Fear,"
YARN-4709,"INFO
INFO","Anger, Love, Surprise"
YARN-476,"INFO
INFO
INFO","Anger, Joy,"
YARN-4880,INFO,"Sadness,"
YARN-4882,"INFO
INFO
INFO
INFO
INFO
INFO","Fear,"
YARN-5545,INFO,"Anger, Fear, Joy, Surprise"
YARN-6643,"INFO
DEBUG","Anger, Fear,"
YARN-7308,INFO,"Anger,"
YARN-8116,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Fear,"
YARN-8202,INFO,"Anger, Joy,"
ZOOKEEPER-1862,"INFO
INFO
INFO","Anger,"
ZOOKEEPER-1898,"INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO
INFO","Anger, Joy,"
HIVE-13174,INFO,"0
-1"
HIVE-13872,/,"-1
0"
HIVE-16973,/,"0
-2
0
0
0
0
0"
HIVE-17774,"INFO
INFO
INFO",-1
YARN-2617,"INFO
INFO
INFO
INFO
INFO
INFO","0
-1
0
-1
-2
0
0
0"
YARN-3896,"INFO
INFO
INFO
INFO
INFO
INFO","0
0
-1"
YARN-3917,INFO,-1
YARN-3963,"INFO
INFO
INFO
INFO","0
0
0
1
0
-1"
